Região,nome_uf,total_ubs,ubs_por_100k
Centro-Oeste,Distrito Federal,197,2.814285714285714
Centro-Oeste,Goiás,1495,21.357142857142858
Centro-Oeste,Mato Grosso,1020,14.571428571428573
Centro-Oeste,Mato Grosso do Sul,649,9.271428571428572
Nordeste,Alagoas,952,13.6
Nordeste,Bahia,4254,60.77142857142857
Nordeste,Ceará,2354,33.62857142857143
Nordeste,Maranhão,2249,32.128571428571426
Nordeste,Paraíba,1683,24.04285714285714
Nordeste,Pernambuco,2862,40.885714285714286
Nordeste,Piauí,1245,17.785714285714285
Nordeste,Rio Grande do Norte,1070,15.285714285714286
Nordeste,Sergipe,534,7.628571428571428
Norte,Acre,275,3.9285714285714284
Norte,Amapá,152,2.1714285714285717
Norte,Amazonas,657,9.385714285714286
Norte,Pará,1769,25.27142857142857
Norte,Rondônia,311,4.442857142857143
Norte,Roraima,155,2.214285714285714
Norte,Tocantins,451,6.442857142857143
Sudeste,Espírito Santo,878,12.542857142857143
Sudeste,Minas Gerais,5716,81.65714285714286
Sudeste,Rio de Janeiro,2073,29.614285714285714
Sudeste,São Paulo,5387,76.95714285714286
Sul,Paraná,2200,31.428571428571427
Sul,Rio Grande do Sul,2186,31.228571428571428
Sul,Santa Catarina,1908,27.257142857142856
