Região,nome_uf,nome_mun,cod_mun_ibge,total_ubs
Centro-Oeste,Distrito Federal,Brasília,530010,197
Centro-Oeste,Goiás,Abadia de Goiás,520005,4
Centro-Oeste,Goiás,Abadiânia,520010,4
Centro-Oeste,Goiás,Acreúna,520013,6
Centro-Oeste,Goiás,Adelândia,520015,1
Centro-Oeste,Goiás,Alexânia,520030,10
Centro-Oeste,Goiás,Aloândia,520050,1
Centro-Oeste,Goiás,Alto Horizonte,520055,2
Centro-Oeste,Goiás,Alto Paraíso de Goiás,520060,3
Centro-Oeste,Goiás,Alvorada do Norte,520080,4
Centro-Oeste,Goiás,Amaralina,520082,3
Centro-Oeste,Goiás,Americano do Brasil,520085,2
Centro-Oeste,Goiás,Amorinópolis,520090,2
Centro-Oeste,Goiás,Anhanguera,520120,1
Centro-Oeste,Goiás,Anicuns,520130,8
Centro-Oeste,Goiás,Anápolis,520110,52
Centro-Oeste,Goiás,Aparecida de Goiânia,520140,49
Centro-Oeste,Goiás,Aparecida do Rio Doce,520145,1
Centro-Oeste,Goiás,Aporé,520150,1
Centro-Oeste,Goiás,Aragarças,520170,8
Centro-Oeste,Goiás,Aragoiânia,520180,4
Centro-Oeste,Goiás,Araguapaz,520215,3
Centro-Oeste,Goiás,Araçu,520160,2
Centro-Oeste,Goiás,Arenópolis,520235,2
Centro-Oeste,Goiás,Aruanã,520250,2
Centro-Oeste,Goiás,Aurilândia,520260,2
Centro-Oeste,Goiás,Avelinópolis,520280,1
Centro-Oeste,Goiás,Baliza,520310,3
Centro-Oeste,Goiás,Barro Alto,520320,3
Centro-Oeste,Goiás,Bela Vista de Goiás,520330,10
Centro-Oeste,Goiás,Bom Jardim de Goiás,520340,4
Centro-Oeste,Goiás,Bom Jesus de Goiás,520350,7
Centro-Oeste,Goiás,Bonfinópolis,520355,4
Centro-Oeste,Goiás,Bonópolis,520357,2
Centro-Oeste,Goiás,Brazabrantes,520360,4
Centro-Oeste,Goiás,Britânia,520380,2
Centro-Oeste,Goiás,Buriti Alegre,520390,3
