cod_mun_ibge,bairro,logradouro,uf,latitude,longitude,nome_ubs,nome_mun,nome_uf,Região
260290,PONTE DOS CARVALHOS,RUA DO CEMITERIO,26,-8.21811,-35.22944,USF SANTO ESTEVAO,Cabo de Santo Agostinho,Pernambuco,Nordeste
500240,SANTO ANTONIO,RUA JOAO PESSOA,50,-22.61912,-54.83528,ESTRATEGIA DE SAUDE DA FAMILIA MARIZA RODRIGUES DOS SANTOS,Caarapó,Mato Grosso do Sul,Centro-Oeste
355030,GUAIANASES,RUA CHUVAS DE VERAO,35,-23.56096,-46.42381,UBS VILA COSMOPOLITA,São Paulo,São Paulo,Sudeste
211060,ZONA RURAL,POVOADO MORRO DO SALTO DA PEDRA,21,-3.42166,-42.36826,POSTO MORRO DO SALTO DA PEDRA,São Bernardo,Maranhão,Nordeste
211060,ZONA RURAL,POVOADO ENXU,21,-3.32356,-42.58953,POSTO ENXU,São Bernardo,Maranhão,Nordeste
220190,CHAPADA DO MEIO,RESIDENCIAL GISON COELHO,22,-9.0793,-44.36483,UBS EDILENE MOUSINHO CARVALHO,Bom Jesus,Piauí,Nordeste
292740,PERNAMBUES,RUA TOMAZ GONZAGA,29,-12.96639,-38.46495,UBS DO CSU PERNAMBUES,Salvador,Bahia,Nordeste
510840,JARDIM MARINGA,RUA SOL NASCENTE,51,-15.67216,-56.08574,USF PASTOR JOSE GERARDO DOS ANJOS MARINGA I,Várzea Grande,Mato Grosso,Centro-Oeste
120013,P A WALTER ARCE,RAMAL PICARREIRA,12,-9.79686,-67.8507,UNIDADE BASICA DE SAUDE MILCA REGINA GUEDES FEITOSA,Bujari,Acre,Norte
292740,MARECHAL RONDON,RUA VICENTE CELESTINO PRACA MARECHAL RONDON,29,-12.91518,-38.4706,UBS MARECHAL RONDON,Salvador,Bahia,Nordeste
261160,TORROES,ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS,26,-8.05296,-34.92863,US 106 CS PROF JOAQUIM CAVALCANTE,Recife,Pernambuco,Nordeste
150240,SAUDADE,TV DA FLORESTA,15,-1.31027,-47.93903,USF JOAO MARINALDO A VIANA,Castanhal,Pará,Norte
150240,IANETAMA,RUA MARIA GORETH,15,-1.28899,-47.91216,USF JOSE OLIMPIO DE BRITO,Castanhal,Pará,Norte
353440,JD DAS FLORES,AV DAS FLORES,35,-23.53695,-46.79405,UBS MARIA GATTI GIGLIO,Osasco,São Paulo,Sudeste
353440,VIL MENCK,R RIBEIRAO PIRES,35,-23.49718,-46.77212,UBS VILA MENCK,Osasco,São Paulo,Sudeste
240100,BACURRAU I,AVENIDA MOESIO HOLANDA,24,-5.66361,-37.80802,UNIDADE BASICA DE SAUDE DO BACURAU I,Apodi,Rio Grande do Norte,Nordeste
220585,CENTRO,AV JOSE RODRIGUES,22,-3.48583,-42.49548,SESB DE MADEIRO,Madeiro,Piauí,Nordeste
530010,SAMAMBAIA NORTE,QS 611 AREA ESPECIAL,53,-15.8755,-48.1093,UBS 02 SAMAMBAIA,Brasília,Distrito Federal,Centro-Oeste
320530,CENTRO,RUA CAIS DE SAO FRANCISCO,32,-20.32011,-40.34049,UNIDADE BASICA DE SAUDE VITORIA,Vitória,Espírito Santo,Sudeste
410430,COHAPAR,RUA PICA PAU,41,-24.05628,-52.41845,UNIDADE DE SAUDE DR GERMANO TRAPLE COHAPAR,Campo Mourão,Paraná,Sul
410870,CENTRO,AV BRASIL,41,-24.14496,-51.50625,CENTRO DE SAUDE DE GRANDES RIOS,Grandes Rios,Paraná,Sul
352400,JD SAO VICENTE,RUA ANTONIO POLI,35,-23.16251,-47.05903,DANIELLE GINECOLOGIA E CLINICA MEDICA LTDA,Itupeva,São Paulo,Sudeste
320530,MARIA ORTIZ,RUA PROFESSOR RENATO RIBEIRO DOS SANTOS,32,-20.25716,-40.29834,UNIDADE BASICA DE SAUDE MARIA ORTIZ,Vitória,Espírito Santo,Sudeste
250300,CENTRO,PRESIDENTE COSTA E SILVA,25,-7.51477,-34.91914,CLINICA REABILITE CAAPORA,Caaporã,Paraíba,Nordeste
412230,ALTO,RUA RODOLFO ALOIS PFEFFER,41,-26.08771,-49.7672,ESTRATEGIA SAUDE DA FAMILIA ANTONIO ABDALA JOSE,Rio Negro,Paraná,Sul
221035,ZONA RURAL,VEREDA DO CALDEIRAO,22,-9.1221,-42.55932,UBS OLIVIA MARIA DA CRUZ COSTA,São Lourenço do Piauí,Piauí,Nordeste
150553,CIDADE JARDIM,RUA N06,15,-6.06649,-49.85148,UNIDADE BASICA DE SAUDE GRAZIELLY CAETANO DE OLIVEIRA,Parauapebas,Pará,Norte
292600,ZONA RURAL,SITIO ESTACADA,29,-9.47903,-42.38719,UNIDADE DE SAUDE DA FAMILIA HONORATO RODRIGUES DOS PASSOS,Remanso,Bahia,Nordeste
314800,LAGOA GRANDE,DONA LUIZA,31,-18.60005,-46.51772,USF LAGOA GRANDE,Patos de Minas,Minas Gerais,Sudeste
310620,CASA BRANCA,RUA BARREIRO,31,-19.91397,-43.87907,CENTRO DE SAUDE MARIANO DE ABREU,Belo Horizonte,Minas Gerais,Sudeste
330250,FRAGOSO,AVENIDA DO CANAL,33,-22.58915,-43.19806,UBS RITA DE CASSIA GOMES RAMOS,Magé,Rio de Janeiro,Sudeste
330340,MURY,AVENIDA HAMBURGO,33,-22.282,-42.531,USF DE MURY,Nova Friburgo,Rio de Janeiro,Sudeste
315210,PALMEIRENSE,RUA ANTONIO LANNA SETTE,31,-20.416,-42.909,UBS MARIA FRANCELINA SALOMAO LANNA,Ponte Nova,Minas Gerais,Sudeste
310620,SERRA,RUA CORINTO,31,-19.9396,-43.91463,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA,Belo Horizonte,Minas Gerais,Sudeste
220470,BR 316,BR 316,22,-6.66333,-41.71753,CENTRO DE SAUDE ARAXAS,Inhuma,Piauí,Nordeste
220520,ZONA RURAL,GAMELEIRA,22,-7.35315,-41.14647,UBS JOSE MARIA DA COSTA,Jaicós,Piauí,Nordeste
110012,JARDIM DOS MIGRANTES,RUA RONDONIA,11,-10.87882,-61.97379,UNIDADE BASICA DE SAUDE GREEN PARK,Ji-Paraná,Rondônia,Norte
171820,PORTO REAL,RUA GETULIO VARGAS,17,-10.70684,-48.41342,UNIDADE BASICA DE SAUDE MONSENHOR JACINTO CARLOS P SARDINHA,Porto Nacional,Tocantins,Norte
261160,IPUTINGA,RUA ITAPIRANGA,26,-8.03898,-34.93161,US 225 USF SKYLAB II,Recife,Pernambuco,Nordeste
330330,SANTANA,TRAVESSA DO HOLOFOTE,33,-22.87955,-43.10686,MMF PROFESSORA DRA SATIE MIZUBUTI,Niterói,Rio de Janeiro,Sudeste
292740,RIBEIRA,RUA ARAUA,29,-13.01477,-38.48806,USF AREAL,Salvador,Bahia,Nordeste
120040,SAO FRANCISCO,RUA JOAQUIM MACEDO,12,-9.95339,-67.79808,USF SAO FRANCISCO,Rio Branco,Acre,Norte
316553,IMACULADA CONCEICAO,RUA RAIMUNDO MOREIRA,31,-20.0339,-44.14536,SARZEDO UBS OSMAR GOMES DE SOUZA,Sarzedo,Minas Gerais,Sudeste
430790,1 DE MAIO,RUA REMIGIO TARTAROTTI,43,-29.23834,-51.34814,UNIDADE BASICA DE SAUDE 1 DE MAIO II,Farroupilha,Rio Grande do Sul,Sul
260600,PARQUE FENIX,AV SEBASTIAO PAES DE MELO,26,-8.88886,-36.44531,USF PARQUE FENIX 2,Garanhuns,Pernambuco,Nordeste
410580,LIBERDADE,RUA NARCISO NEGRAO,41,-25.38247,-49.16846,CENTRO DE SAUDE LIBERDADE,Colombo,Paraná,Sul
310350,BELA SUICA III,RUA E,31,-18.64809,-48.18887,UNIDADE BASICA DE SAUDE DA FAMILIA BELA SUICA,Araguari,Minas Gerais,Sudeste
150747,ZONA RURAL,VILA BOA ESPERANCA,15,-0.74134,-47.21203,USF BOA ESPERANCA,São João de Pirabas,Pará,Norte
431060,DR AYUB,CORONEL ASSUNCAO ESQUINA COM PASCOAL MINOGGIO,43,-29.13652,-56.54334,UBS DR AYUB,Itaqui,Rio Grande do Sul,Sul
230730,AEROPORTO,R ANTONIO ELIOMAR FELIX,23,-7.20744,-39.28035,UBS AEROPORTO,Juazeiro do Norte,Ceará,Nordeste
130150,CONCORDIA,RUA RICARDO FERNANDES,13,-7.4388,-70.01402,UBS BEZERRINHA,Envira,Amazonas,Norte
260460,CENTRO,RUA MARCOS DE ALMEIDA,26,-7.58942,-35.10003,EMULTI 2 CONDADO,Condado,Pernambuco,Nordeste
